DATE,TIME,q1s,q1t,q2s,q2t,q3s,q3t,q4s,q4t
2016/1/2,10:30,0.212537860,1.4,0.292885319,4.2,0.106522383,-1.5,0.041927985,-5.2
2016/1/2,11:00,0.324832582,2.1,0.308639165,5.0,0.118745363,-1.8,0.052975431,-4.2
2016/1/2,11:30,0.207233295,2.7,0.275717295,5.1,0.203364378,-0.4,0.144629586,-3.6
2016/1/2,12:00,0.153838693,2.4,0.159056262,4.4,0.319912463,1.1,0.202687965,-2.9
2016/1/2,12:30,0.111114821,2.0,0.335383697,4.9,0.343587092,2.2,0.192581003,-2.1
2016/1/2,13:00,0.047314655,2.0,0.239895686,5.2,0.349614685,2.7,0.182430585,-1.2
2016/1/2,13:30,0.093405056,2.0,0.263266744,5.3,0.278677556,2.9,0.207991896,0.0
2016/1/2,14:00,0.115822070,1.4,0.169219630,4.7,0.098190731,2.6,0.078464540,0.7
2016/1/2,14:30,0.073528791,1.3,0.116017860,4.2,0.113210816,2.2,0.048113675,1.2
2016/1/2,15:00,0.032493522,1.0,0.078929071,4.0,0.037668164,0.1,0.031303788,1.0
2016/1/2,15:30,0.022771724,0.8,0.049692369,3.7,0.008200063,-0.5,0.010076606,0.8
2016/1/2,16:00,0.000256974,1.2,0.003622475,3.1,-0.000940135,-0.6,-0.000645422,0.5
2016/1/2,16:30,-0.001352502,1.2,-0.000820164,2.3,-0.000486917,-1.3,-0.002232543,0.7
2016/1/2,17:00,-0.002144459,1.2,-0.000987716,1.7,-0.000903816,-2.0,-0.001559293,0.6
2016/1/2,17:30,-0.001351336,1.1,-0.000803584,0.6,-0.002155272,-1.8,-0.001745535,0.2
2016/1/2,18:00,-0.001387288,0.9,-0.001522734,2.0,-0.000724028,-1.4,-0.003375511,1.1
2016/1/2,18:30,-0.000666639,0.8,-0.000728033,1.2,-0.000870998,-2.0,-0.002147876,1.4
2016/1/2,19:00,-0.001401207,0.4,-0.001076587,0.6,-0.001030556,-2.2,-0.001706176,1.3
2016/1/2,19:30,-0.001114483,0.7,-0.001298345,0.2,-0.001539596,-1.8,-0.000117926,-0.3
2016/1/2,20:00,-0.001163769,1.2,-0.002151935,1.3,-0.000456311,-2.4,-0.000719566,-1.5
2016/1/2,20:30,-0.001454175,0.8,-0.000804252,1.0,-0.001120956,-3.2,-0.001981134,-1.5
2016/1/2,21:00,-0.001428917,1.0,-0.001317404,1.3,0.000040602,-4.5,-0.003085646,-0.6
2016/1/2,21:30,-0.001653471,0.9,-0.001211725,1.0,-0.000031582,-5.9,0.001589344,-2.9
2016/1/2,22:00,-0.001809704,1.3,-0.001799780,1.2,-0.001120762,-5.6,-0.005124543,-0.8
2016/1/2,22:30,-0.002123995,1.4,-0.001692750,1.2,-0.001534837,-5.8,-0.002605512,-0.1
2016/1/2,23:00,-0.002175369,2.0,-0.002222431,1.6,-0.002190523,-5.4,-0.002203161,0.1
2016/1/2,23:30,-0.000749690,1.8,-0.001513578,1.6,-0.001166083,-5.1,-0.002618988,0.6
2016/1/3,0:00,-0.000794546,1.4,-0.001298224,1.3,-0.001725677,-5.6,-0.002225645,1.1
2016/1/3,0:30,-0.001020864,1.0,-0.001089408,1.2,-0.001455766,-5.3,-0.002127820,1.0
2016/1/3,1:00,-0.001001711,0.5,-0.001025385,0.8,-0.000617591,-5.3,-0.001906186,1.0
2016/1/3,1:30,-0.001716532,0.3,-0.001097440,-0.1,-0.003116304,-2.9,-0.002122444,0.9
2016/1/3,2:00,-0.000842606,0.2,-0.001713671,-0.2,-0.000284644,-3.2,-0.002014231,1.1
2016/1/3,2:30,-0.000865340,-0.1,-0.001857953,-0.1,-0.002107098,-2.9,-0.001578525,0.6
2016/1/3,3:00,-0.000920047,-0.2,-0.001852209,-0.2,-0.000336536,-3.0,-0.002103290,0.8
2016/1/3,3:30,-0.001286752,-0.3,-0.001705441,-0.5,-0.001822005,-2.3,-0.002565636,0.9
2016/1/3,4:00,-0.001425362,-0.6,-0.001225643,-1.2,-0.000823430,-2.5,-0.001931994,1.1
2016/1/3,4:30,-0.000951536,-0.7,-0.001487570,-1.2,-0.000814581,-2.0,-0.001712520,0.9
2016/1/3,5:00,-0.001877214,-0.8,-0.001612585,-1.3,-0.000368794,-2.8,-0.001772696,0.8
2016/1/3,5:30,-0.001741387,-0.9,-0.002074744,-1.1,-0.000730554,-3.2,-0.001515210,0.6
2016/1/3,6:00,-0.001034549,-0.8,-0.001623267,-1.4,-0.001432815,-3.3,-0.001680098,0.2
2016/1/3,6:30,-0.000297188,-0.9,-0.000919773,-1.2,-0.000196419,-3.4,0.000740044,-0.2
2016/1/3,7:00,0.006543708,-1.0,0.005941134,-1.5,0.013360457,-3.3,0.013224875,-0.2
2016/1/3,7:30,0.029582587,-0.8,0.028750792,-0.8,0.049585121,-3.3,0.055398289,0.0
2016/1/3,8:00,0.073676457,-0.5,0.079575375,-0.5,0.069161025,-2.9,0.094104420,0.2
2016/1/3,8:30,0.097390401,-0.1,0.145016594,0.0,0.077496708,-3.0,0.191228196,0.7
2016/1/3,9:00,0.157575495,0.3,0.102259061,0.1,0.232863404,-1.6,0.263117399,1.2
2016/1/3,9:30,0.167028824,0.4,0.086824431,0.2,0.293614504,0.8,0.314515829,1.6
2016/1/3,10:00,0.158876359,0.5,0.084199250,0.3,0.382099898,0.5,0.350400240,1.6
2016/1/3,10:30,0.147714111,0.4,0.106164404,0.5,0.408780192,0.7,0.381062707,1.8
2016/1/3,11:00,0.238783426,1.0,0.109444651,0.8,0.425291401,0.6,0.402659223,2.0
2016/1/3,11:30,0.175250116,0.8,0.332558923,1.7,0.214542796,0.0,0.389091728,2.1
2016/1/3,12:00,0.182936415,1.0,0.299300040,1.6,0.129265194,-0.4,0.384500222,2.3
2016/1/3,12:30,0.177527470,1.2,0.156080476,1.2,0.142711272,-0.2,0.354708636,2.3
2016/1/3,13:00,0.133847795,1.2,0.102453959,1.2,0.202336573,-0.1,0.230804076,2.1
2016/1/3,13:30,0.127988986,1.1,0.189020631,1.5,0.313563775,0.2,0.242365524,1.9
2016/1/3,14:00,0.150502900,1.0,0.240580444,2.4,0.220261357,-0.3,0.048549989,1.6
2016/1/3,14:30,0.100875421,0.8,0.126288307,1.4,0.134464969,-0.3,0.037008089,1.4
2016/1/3,15:00,0.062799112,0.5,0.099252632,1.1,0.090982467,-0.4,0.024215974,1.1
2016/1/3,15:30,0.021237797,0.3,0.025547397,0.5,0.020542903,-1.7,0.008277854,0.8
2016/1/3,16:00,0.002203229,0.0,0.003605149,0.0,0.000370108,-2.7,-0.000841713,0.7
2016/1/3,16:30,-0.001214257,-0.4,-0.001226270,-0.3,-0.001396721,-3.1,-0.001628550,0.5
2016/1/3,17:00,-0.001735002,-0.6,-0.001512856,-0.5,-0.001327557,-3.6,-0.001839279,0.4
2016/1/3,17:30,-0.001730516,-0.6,-0.001483532,-1.0,-0.001420950,-3.6,-0.001873532,0.2
2016/1/3,18:00,-0.001591579,-0.7,-0.001322550,-1.3,-0.000836161,-3.8,-0.001787593,0.2
2016/1/3,18:30,-0.001265278,-0.9,-0.001991039,-0.7,-0.001164570,-4.7,-0.001527526,0.1
2016/1/3,19:00,-0.001060798,-0.7,-0.001269390,-0.7,-0.001477395,-5.1,-0.001736510,-0.1
2016/1/3,19:30,-0.000813114,-0.9,-0.001101097,-1.0,-0.002170621,-4.9,-0.002491058,0.4
2016/1/3,20:00,-0.001034187,-1.2,-0.001310753,-1.2,0.000461560,-6.1,-0.001891303,0.4
2016/1/3,20:30,-0.001232463,-1.7,-0.001488322,-1.4,-0.001570899,-6.9,-0.001482452,0.4
2016/1/3,21:00,-0.001293177,-2.4,-0.001672436,-1.5,-0.000738163,-7.5,-0.001439104,0.2
2016/1/3,21:30,-0.001979960,-2.5,-0.001486410,-2.2,-0.000823025,-8.6,-0.001207998,-0.3
2016/1/3,22:00,-0.001678049,-2.0,-0.001675734,-2.3,-0.001445490,-9.3,-0.001813164,-0.6
2016/1/3,22:30,-0.002366031,-1.7,-0.001895420,-2.3,-0.000837493,-9.9,-0.002477876,-0.8
2016/1/3,23:00,-0.000034502,-1.7,-0.001200007,-4.1,-0.001293352,-10.2,-0.002138651,-0.2
2016/1/3,23:30,-0.000314433,-3.8,-0.001365985,-4.0,-0.000998187,-10.6,-0.001817275,-0.5
2016/1/4,0:00,-0.003928220,-2.5,-0.001736403,-4.1,-0.001323205,-10.8,-0.002077448,-0.7
2016/1/4,0:30,-0.001602341,-2.0,-0.001286483,-5.0,-0.000896217,-10.9,-0.001674369,-0.7
2016/1/4,1:00,-0.000243932,-2.7,-0.001563874,-5.9,-0.001228234,-11.1,-0.001632587,-1.4
2016/1/4,1:30,-0.000097713,-3.6,-0.001341655,-6.4,-0.000309590,-12.0,-0.002247903,-1.3
2016/1/4,2:00,-0.000831085,-4.0,-0.001652709,-6.0,-0.000896093,-12.5,-0.001641229,-1.4
2016/1/4,2:30,-0.001173465,-3.8,-0.001165675,-6.5,-0.002335801,-12.3,-0.002009497,-1.6
2016/1/4,3:00,-0.001592346,-3.4,-0.001405608,-6.3,-0.001058025,-12.3,-0.001587754,-1.9
2016/1/4,3:30,-0.001914269,-2.9,-0.001397961,-6.6,-0.001255595,-12.6,-0.001873819,-1.9
2016/1/4,4:00,-0.000367462,-3.4,-0.001269261,-6.6,-0.001010756,-12.5,-0.001571339,-2.0
2016/1/4,4:30,-0.001149507,-3.5,-0.001131039,-6.2,-0.000744880,-13.0,-0.001204853,-3.1
2016/1/4,5:00,-0.000669225,-3.9,-0.001900020,-5.3,-0.001780740,-12.9,-0.002423101,-2.7
2016/1/4,5:30,-0.001856677,-3.5,-0.001584755,-5.8,-0.001595652,-12.8,-0.001467376,-2.8
2016/1/4,6:00,-0.001354342,-3.5,-0.001385060,-6.0,-0.000760119,-12.3,-0.002758510,-2.6
2016/1/4,6:30,-0.001950401,-2.3,-0.000312711,-6.1,0.000894312,-12.5,0.000496321,-2.2
2016/1/4,7:00,0.006204782,-2.4,0.011446973,-5.9,0.025982265,-12.0,0.019750235,-2.8
2016/1/4,7:30,0.026149145,-2.5,0.034540604,-5.6,0.051117052,-10.9,0.069041996,-2.3
2016/1/4,8:00,0.059709773,-2.1,0.068856460,-4.9,0.070742089,-10.4,0.116405886,-0.6
2016/1/4,8:30,0.112520664,-1.6,0.129502794,-2.9,0.113283330,-9.8,0.155302757,-0.4
2016/1/4,9:00,0.228536355,-0.6,0.228536871,-0.9,0.315153218,-8.0,0.266704867,0.3
2016/1/4,9:30,0.297158335,-0.1,0.287502671,-0.6,0.390586380,-6.1,0.278020356,0.5
2016/1/4,10:00,0.329025595,0.0,0.292702335,0.0,0.412360190,-3.5,0.327550913,0.6
2016/1/4,10:30,0.268771098,-0.1,0.215525549,-0.1,0.401773551,-4.4,0.391442219,1.0
2016/1/4,11:00,0.258215226,0.0,0.232024337,0.0,0.394805275,-3.9,0.340269889,1.2
2016/1/4,11:30,0.228076744,-0.1,0.178831781,0.0,0.375832795,-1.4,0.334815296,1.4
2016/1/4,12:00,0.224679991,-0.3,0.150238970,-0.2,0.313326432,-2.2,0.362892220,1.9
2016/1/4,12:30,0.196351109,-0.4,0.175304504,-0.1,0.262079385,-2.7,0.268430463,1.5
2016/1/4,13:00,0.198786142,-0.4,0.167131586,-0.2,0.219445754,-1.8,0.211349019,1.2
2016/1/4,13:30,0.176541199,-0.8,0.138002960,-0.5,0.143141084,-2.7,0.117627766,0.8
2016/1/4,14:00,0.137794815,-1.2,0.168024064,-0.2,0.102998826,-2.9,0.076361892,0.6
2016/1/4,14:30,0.103313150,-1.7,0.094614807,-0.5,0.076119294,-2.7,0.060141575,0.4
2016/1/4,15:00,0.055221761,-2.4,0.051757535,-1.5,0.058244784,-3.2,0.037086209,0.1
2016/1/4,15:30,0.019130201,-2.7,0.021644080,-1.6,0.012199487,-4.1,0.009660056,0.0
2016/1/4,16:00,0.002173420,-2.8,0.003198240,-2.0,0.000228388,-4.6,-0.000116054,-0.2
2016/1/4,16:30,-0.001407378,-2.7,-0.000763818,-2.3,-0.000756337,-4.7,-0.001020644,-0.5
2016/1/4,17:00,-0.000902265,-3.0,-0.001283730,-2.8,-0.001015389,-4.6,-0.001004399,-1.0
2016/1/4,17:30,-0.002167780,-3.0,-0.001466459,-3.5,-0.001012945,-5.1,-0.001375208,-1.1
2016/1/4,18:00,-0.000383315,-3.5,-0.001181033,-4.2,-0.001376181,-5.5,-0.000932323,-1.4
2016/1/4,18:30,-0.001368906,-4.1,-0.001840102,-3.8,-0.001476582,-5.6,-0.001237487,-1.7
2016/1/4,19:00,-0.001019735,-3.6,-0.002927288,-3.5,-0.000574533,-6.4,-0.001073210,-2.2
2016/1/4,19:30,-0.000680675,-3.8,-0.002129957,-4.3,-0.002163307,-6.9,-0.000966059,-3.1
2016/1/4,20:00,-0.000986754,-3.8,-0.002737979,-3.6,-0.000916100,-7.2,-0.001203620,-3.9
2016/1/4,20:30,-0.001412323,-4.2,-0.002667721,-3.6,-0.001070966,-8.0,-0.001714519,-4.1
2016/1/4,21:00,-0.002065819,-4.1,-0.001814324,-3.9,-0.000612510,-8.5,-0.001396444,-4.8
2016/1/4,21:30,-0.001884967,-3.9,-0.001793935,-4.3,-0.000649437,-9.4,-0.001994926,-4.8
2016/1/4,22:00,-0.001226110,-4.4,-0.001560914,-4.8,-0.001394746,-9.7,-0.002518949,-4.7
2016/1/4,22:30,-0.000196096,-5.4,-0.001921651,-5.0,-0.001113355,-10.1,-0.002722409,-3.5
2016/1/4,23:00,-0.000293928,-6.9,-0.001850709,-5.2,-0.001139827,-10.3,-0.001873454,-3.4
2016/1/4,23:30,-0.000562180,-8.0,-0.001534314,-6.7,-0.000855524,-11.0,-0.002256248,-3.3
2016/1/5,0:00,-0.000823773,-8.9,-0.003354012,-4.8,-0.001219788,-11.2,-0.001904244,-3.3
2016/1/5,0:30,-0.001679992,-9.0,-0.003052953,-3.8,-0.001317443,-11.4,-0.001979714,-3.3
2016/1/5,1:00,-0.000498843,-10.0,-0.001960566,-4.0,-0.001005436,-11.6,-0.001380654,-3.7
2016/1/5,1:30,-0.001306827,-10.6,-0.001430238,-5.2,-0.001185168,-11.8,-0.001767512,-3.9
2016/1/5,2:00,-0.003237608,-9.4,-0.000907747,-6.7,-0.000963831,-11.5,-0.001977014,-3.9
2016/1/5,2:30,-0.005135613,-6.9,-0.001496354,-6.0,-0.001330080,-11.0,-0.001635074,-4.1
2016/1/5,3:00,-0.001569714,-5.1,-0.002118790,-5.4,-0.001184786,-11.1,-0.001112763,-4.8
2016/1/5,3:30,0.002207814,-8.6,-0.001961895,-5.1,-0.001032882,-11.4,-0.000888874,-5.6
2016/1/5,4:00,-0.001570769,-9.3,-0.002028441,-5.0,-0.001288904,-11.8,-0.000744848,-6.6
2016/1/5,4:30,-0.001082655,-10.0,-0.001544879,-5.5,-0.000842602,-12.2,-0.000610256,-7.6
2016/1/5,5:00,-0.004777846,-4.4,-0.001120593,-7.7,-0.000999181,-12.4,0.000220887,-9.9
2016/1/5,5:30,-0.001289818,-5.0,-0.001137802,-7.1,-0.000892351,-12.6,-0.003169063,-8.6
2016/1/5,6:00,-0.001687107,-4.9,-0.002340215,-5.7,-0.000810940,-12.5,-0.000422876,-9.8
2016/1/5,6:30,-0.000870827,-4.9,-0.002347043,-4.8,-0.000324339,-12.2,0.000212894,-9.3
2016/1/5,7:00,0.008965310,-5.1,0.012191261,-5.3,0.015128592,-11.5,0.012631599,-9.5
2016/1/5,7:30,0.041948558,-5.4,0.087243883,-4.7,0.040940963,-10.3,0.056296138,-6.8
2016/1/5,8:00,0.089764640,-4.6,0.113996005,-4.1,0.119179253,-9.7,0.095564432,-4.7
2016/1/5,8:30,0.140066201,-4.1,0.195075555,-3.4,0.138238947,-9.4,0.200024085,-2.6
2016/1/5,9:00,0.288934931,-3.7,0.341260726,-2.8,0.268204660,-10.1,0.282142197,-1.9
2016/1/5,9:30,0.169521580,-4.0,0.462061913,-2.4,0.236078371,-6.6,0.337592308,-1.4
2016/1/5,10:00,0.253125943,-2.7,0.506779758,-2.1,0.317800814,-3.2,0.376716080,-1.1
2016/1/5,10:30,0.315945726,-2.8,0.364951111,-2.0,0.477249822,-1.8,0.400252503,-0.8
2016/1/5,11:00,0.330284339,-2.6,0.161060778,-2.2,0.551629016,-0.8,0.298406197,-1.3
2016/1/5,11:30,0.221987846,-2.9,0.077678979,-2.4,0.566852867,-0.5,0.427376637,-0.7
2016/1/5,12:00,0.200210580,-3.2,0.187856388,-2.5,0.490776175,-1.0,0.413185284,-0.7
2016/1/5,12:30,0.393439084,-2.5,0.275286335,-2.1,0.456377986,-1.1,0.373126668,-0.8
2016/1/5,13:00,0.400542886,-1.9,0.093942355,-2.6,0.362322053,-2.3,0.234644396,-0.9
2016/1/5,13:30,0.177647746,-2.7,0.090786527,-2.8,0.157369116,-2.6,0.262965295,-0.9
2016/1/5,14:00,0.192968871,-2.9,0.113719401,-3.1,0.116421022,-3.1,0.058539811,-1.4
2016/1/5,14:30,0.123771371,-3.2,0.068455487,-3.2,0.071187639,-3.3,0.050041440,-1.5
2016/1/5,15:00,0.088483824,-3.5,0.034217723,-3.3,0.033877113,-3.7,0.024553237,-1.9
2016/1/5,15:30,0.017494833,-4.1,0.019427597,-3.7,0.010728145,-3.9,0.010577140,-2.1
2016/1/5,16:00,0.001793081,-4.3,0.002787817,-3.9,-0.000207966,-4.1,-0.000323482,-2.4
2016/1/5,16:30,-0.001563647,-4.3,-0.001169848,-4.1,-0.001499440,-4.4,-0.001767896,-2.6
2016/1/5,17:00,-0.000841373,-4.5,-0.000976601,-4.3,-0.001846148,-4.6,-0.001763122,-2.7
2016/1/5,17:30,-0.001721654,-4.7,-0.001113482,-4.6,-0.001368392,-4.9,-0.001590158,-3.0
2016/1/5,18:00,-0.001248305,-4.8,-0.001508645,-4.7,-0.002237617,-5.1,-0.001559856,-3.2
2016/1/5,18:30,-0.000840561,-4.8,-0.001256003,-4.8,-0.001709813,-5.0,-0.001849930,-3.3
2016/1/5,19:00,-0.000902371,-4.7,-0.001216388,-5.0,-0.000165598,-5.8,-0.001723647,-3.5
2016/1/5,19:30,-0.001062735,-4.7,-0.001301701,-5.1,-0.002018055,-5.7,-0.001778091,-3.7
2016/1/5,20:00,-0.000577652,-4.7,-0.001086734,-5.2,-0.001587596,-5.5,-0.001778726,-3.8
2016/1/5,20:30,-0.000822079,-4.8,-0.000848228,-5.2,-0.001770742,-5.8,-0.001746021,-4.1
2016/1/5,21:00,-0.001222911,-4.9,-0.000792030,-5.1,-0.001696160,-5.3,-0.001673907,-4.1
2016/1/5,21:30,-0.000841596,-4.6,-0.000966073,-5.2,-0.001333314,-5.5,-0.001975517,-4.2
2016/1/5,22:00,-0.001037540,-4.4,-0.000771611,-5.8,-0.001697030,-5.6,-0.001901533,-4.3
2016/1/5,22:30,-0.001284415,-4.4,-0.000726888,-6.0,-0.001387891,-6.2,-0.002146306,-4.1
2016/1/5,23:00,-0.000755172,-4.2,-0.001238862,-6.4,-0.001775197,-6.3,-0.002005977,-4.1
2016/1/5,23:30,-0.000922131,-4.3,-0.000864167,-6.3,-0.002509753,-5.7,-0.001731921,-4.3
2016/1/6,0:00,-0.000814442,-4.5,-0.001627175,-5.4,-0.001914261,-5.4,-0.001503873,-4.5
2016/1/6,0:30,0.000609691,-5.5,-0.000873212,-5.2,-0.000074465,-5.9,-0.001647187,-4.9
2016/1/6,1:00,-0.000884234,-5.9,-0.000640532,-5.3,0.002807180,-10.4,-0.001457293,-5.2
2016/1/6,1:30,-0.001493257,-5.6,-0.000604162,-5.1,-0.002421977,-11.1,0.002589835,-8.1
