DATE,TIME,S1[MW],S2[MW]
2016/1/3,7:30,6.2,9.8
2016/1/3,8:00,17.3,23.0
2016/1/3,8:30,48.7,47.2
2016/1/3,9:00,59.9,67.0
2016/1/3,9:30,101.4,78.8
2016/1/3,10:00,107.3,85.7
2016/1/3,10:30,109.9,92.2
2016/1/3,11:00,147.9,90.9
2016/1/3,11:30,157.0,92.5
2016/1/3,12:00,146.8,92.5
2016/1/3,12:30,145.3,91.6
2016/1/3,13:00,135.8,84.9
2016/1/3,13:30,113.8,73.4
2016/1/3,14:00,82.3,53.3
2016/1/3,14:30,49.5,28.9
2016/1/3,15:00,27.6,11.3
2016/1/3,15:30,5.9,0.8
2016/1/3,16:00,0.0,0.0
2016/1/3,16:30,0.0,0.0
2016/1/3,17:00,0.0,0.0
2016/1/3,17:30,0.0,0.0
2016/1/3,18:00,0.0,0.0
2016/1/3,18:30,0.0,0.0
2016/1/3,19:00,0.0,0.0
2016/1/3,19:30,0.0,0.0
2016/1/3,20:00,0.0,0.0
2016/1/3,20:30,0.0,0.0
2016/1/3,21:00,0.0,0.0
2016/1/3,21:30,0.0,0.0
2016/1/3,22:00,0.0,0.0
2016/1/3,22:30,0.0,0.0
2016/1/3,23:00,0.0,0.0
2016/1/3,23:30,0.0,0.0
2016/1/4,0:00,0.0,0.0
2016/1/4,0:30,0.0,0.0
2016/1/4,1:00,0.0,0.0
2016/1/4,1:30,0.0,0.0
2016/1/4,2:00,0.0,0.0
2016/1/4,2:30,0.0,0.0
2016/1/4,3:00,0.0,0.0
2016/1/4,3:30,0.0,0.0
2016/1/4,4:00,0.0,0.0
2016/1/4,4:30,0.0,0.0
2016/1/4,5:00,0.0,0.0
2016/1/4,5:30,0.0,0.0
2016/1/4,6:00,0.0,0.0
2016/1/4,6:30,0.0,0.0
2016/1/4,7:00,0.5,2.2
2016/1/4,7:30,5.4,16.9
2016/1/4,8:00,17.9,25.8
2016/1/4,8:30,43.5,40.9
2016/1/4,9:00,77.1,67.0
2016/1/4,9:30,111.5,68.3
2016/1/4,10:00,110.4,87.8
2016/1/4,10:30,67.4,97.4
2016/1/4,11:00,66.4,102.1
2016/1/4,11:30,55.5,94.5
2016/1/4,12:00,40.9,75.4
2016/1/4,12:30,43.8,53.9
2016/1/4,13:00,32.7,35.9
2016/1/4,13:30,22.0,19.7
2016/1/4,14:00,33.2,14.7
2016/1/4,14:30,15.4,12.0
2016/1/4,15:00,8.3,4.8
2016/1/4,15:30,2.0,0.3
2016/1/4,16:00,0.0,0.0
2016/1/4,16:30,0.0,0.0
2016/1/4,17:00,0.0,0.0
2016/1/4,17:30,0.0,0.0
2016/1/4,18:00,0.0,0.0
2016/1/4,18:30,0.0,0.0
2016/1/4,19:00,0.0,0.0
2016/1/4,19:30,0.0,0.0
2016/1/4,20:00,0.0,0.0
2016/1/4,20:30,0.0,0.0
2016/1/4,21:00,0.0,0.0
2016/1/4,21:30,0.0,0.0
2016/1/4,22:00,0.0,0.0
2016/1/4,22:30,0.0,0.0
2016/1/4,23:00,0.0,0.0
2016/1/4,23:30,0.0,0.0
2016/1/5,0:00,0.0,0.0
2016/1/5,0:30,0.0,0.0
2016/1/5,1:00,0.0,0.0
2016/1/5,1:30,0.0,0.0
2016/1/5,2:00,0.0,0.0
2016/1/5,2:30,0.0,0.0
2016/1/5,3:00,0.0,0.0
2016/1/5,3:30,0.0,0.0
2016/1/5,4:00,0.0,0.0
2016/1/5,4:30,0.0,0.0
2016/1/5,5:00,0.0,0.0
2016/1/5,5:30,0.0,0.0
2016/1/5,6:00,0.0,0.0
2016/1/5,6:30,0.0,0.0
2016/1/5,7:00,0.2,0.9
2016/1/5,7:30,10.0,12.8
2016/1/5,8:00,25.8,31.5
2016/1/5,8:30,29.2,58.3
2016/1/5,9:00,56.7,77.7
2016/1/5,9:30,94.8,85.7
2016/1/5,10:00,105.2,98.0
2016/1/5,10:30,87.1,105.1
2016/1/5,11:00,57.4,100.1
2016/1/5,11:30,68.2,99.0
2016/1/5,12:00,78.5,105.5
2016/1/5,12:30,84.8,98.0
2016/1/5,13:00,83.5,88.6
2016/1/5,13:30,74.8,74.7
2016/1/5,14:00,55.6,59.6
2016/1/5,14:30,35.2,31.2
2016/1/5,15:00,14.3,11.2
2016/1/5,15:30,1.8,1.5
2016/1/5,16:00,0.0,0.0
2016/1/5,16:30,0.0,0.0
2016/1/5,17:00,0.0,0.0
2016/1/5,17:30,0.0,0.0
2016/1/5,18:00,0.0,0.0
2016/1/5,18:30,0.0,0.0
2016/1/5,19:00,0.0,0.0
2016/1/5,19:30,0.0,0.0
2016/1/5,20:00,0.0,0.0
2016/1/5,20:30,0.0,0.0
2016/1/5,21:00,0.0,0.0
2016/1/5,21:30,0.0,0.0
2016/1/5,22:00,0.0,0.0
2016/1/5,22:30,0.0,0.0
2016/1/5,23:00,0.0,0.0
2016/1/5,23:30,0.0,0.0
2016/1/6,0:00,0.0,0.0
2016/1/6,0:30,0.0,0.0
2016/1/6,1:00,0.0,0.0
2016/1/6,1:30,0.0,0.0
2016/1/6,2:00,0.0,0.0
2016/1/6,2:30,0.0,0.0
2016/1/6,3:00,0.0,0.0
2016/1/6,3:30,0.0,0.0
2016/1/6,4:00,0.0,0.0
2016/1/6,4:30,0.0,0.0
2016/1/6,5:00,0.0,0.0
2016/1/6,5:30,0.0,0.0
2016/1/6,6:00,0.0,0.0
2016/1/6,6:30,0.0,0.0
2016/1/6,7:00,0.0,2.1
2016/1/6,7:30,1.8,17.4
2016/1/6,8:00,7.8,35.6
2016/1/6,8:30,36.2,63.8
2016/1/6,9:00,55.9,81.6
2016/1/6,9:30,112.1,95.1
2016/1/6,10:00,134.4,100.8
2016/1/6,10:30,99.2,105.8
2016/1/6,11:00,82.1,108.6
2016/1/6,11:30,101.0,108.5
2016/1/6,12:00,113.7,107.3
2016/1/6,12:30,105.0,103.0
2016/1/6,13:00,75.7,96.0
2016/1/6,13:30,72.5,79.0
2016/1/6,14:00,75.1,58.2
2016/1/6,14:30,48.7,30.0
2016/1/6,15:00,25.6,14.4
2016/1/6,15:30,4.0,1.1
2016/1/6,16:00,0.0,0.0
2016/1/6,16:30,0.0,0.0
2016/1/6,17:00,0.0,0.0
2016/1/6,17:30,0.0,0.0
2016/1/6,18:00,0.0,0.0
2016/1/6,18:30,0.0,0.0
2016/1/6,19:00,0.0,0.0
2016/1/6,19:30,0.0,0.0
2016/1/6,20:00,0.0,0.0
2016/1/6,20:30,0.0,0.0
2016/1/6,21:00,0.0,0.0
2016/1/6,21:30,0.0,0.0
2016/1/6,22:00,0.0,0.0
2016/1/6,22:30,0.0,0.0
2016/1/6,23:00,0.0,0.0
2016/1/6,23:30,0.0,0.0
2016/1/7,0:00,0.0,0.0
2016/1/7,0:30,0.0,0.0
2016/1/7,1:00,0.0,0.0
2016/1/7,1:30,0.0,0.0
2016/1/7,2:00,0.0,0.0
2016/1/7,2:30,0.0,0.0
2016/1/7,3:00,0.0,0.0
2016/1/7,3:30,0.0,0.0
2016/1/7,4:00,0.0,0.0
2016/1/7,4:30,0.0,0.0
2016/1/7,5:00,0.0,0.0
2016/1/7,5:30,0.0,0.0
2016/1/7,6:00,0.0,0.0
2016/1/7,6:30,0.0,0.0
2016/1/7,7:00,0.0,2.3
2016/1/7,7:30,0.2,13.8
2016/1/7,8:00,3.7,24.9
2016/1/7,8:30,19.2,46.7
2016/1/7,9:00,48.0,71.8
2016/1/7,9:30,86.9,88.5
2016/1/7,10:00,59.6,93.2
2016/1/7,10:30,57.2,93.7
2016/1/7,11:00,77.0,99.8
2016/1/7,11:30,92.4,102.3
2016/1/7,12:00,91.9,92.4
2016/1/7,12:30,98.5,84.8
2016/1/7,13:00,68.8,68.6
2016/1/7,13:30,47.0,58.9
2016/1/7,14:00,27.6,56.2
2016/1/7,14:30,30.7,32.9
2016/1/7,15:00,15.3,15.2
2016/1/7,15:30,2.5,2.2
2016/1/7,16:00,0.0,0.0
2016/1/7,16:30,0.0,0.0
2016/1/7,17:00,0.0,0.0
2016/1/7,17:30,0.0,0.0
2016/1/7,18:00,0.0,0.0
2016/1/7,18:30,0.0,0.0
2016/1/7,19:00,0.0,0.0
2016/1/7,19:30,0.0,0.0
2016/1/7,20:00,0.0,0.0
2016/1/7,20:30,0.0,0.0
2016/1/7,21:00,0.0,0.0
2016/1/7,21:30,0.0,0.0
2016/1/7,22:00,0.0,0.0
2016/1/7,22:30,0.0,0.0
2016/1/7,23:00,0.0,0.0
2016/1/7,23:30,0.0,0.0
2016/1/8,0:00,0.0,0.0
2016/1/8,0:30,0.0,0.0
2016/1/8,1:00,0.0,0.0
2016/1/8,1:30,0.0,0.0
2016/1/8,2:00,0.0,0.0
2016/1/8,2:30,0.0,0.0
2016/1/8,3:00,0.0,0.0
2016/1/8,3:30,0.0,0.0
2016/1/8,4:00,0.0,0.0
2016/1/8,4:30,0.0,0.0
2016/1/8,5:00,0.0,0.0
2016/1/8,5:30,0.0,0.0
2016/1/8,6:00,0.0,0.0
2016/1/8,6:30,0.0,0.0
2016/1/8,7:00,0.3,1.2
2016/1/8,7:30,4.5,13.8
2016/1/8,8:00,8.1,32.2
2016/1/8,8:30,14.2,58.4
2016/1/8,9:00,23.5,79.8
2016/1/8,9:30,30.1,93.6
2016/1/8,10:00,44.7,101.3
2016/1/8,10:30,71.5,102.8
2016/1/8,11:00,83.5,103.7
2016/1/8,11:30,130.2,100.2
2016/1/8,12:00,124.1,89.3
2016/1/8,12:30,84.7,83.1
2016/1/8,13:00,74.4,85.6
2016/1/8,13:30,42.7,72.2
2016/1/8,14:00,49.2,60.3
2016/1/8,14:30,50.7,32.3
2016/1/8,15:00,26.1,15.0
2016/1/8,15:30,7.3,2.1
2016/1/8,16:00,0.0,0.0
2016/1/8,16:30,0.0,0.0
2016/1/8,17:00,0.0,0.0
2016/1/8,17:30,0.0,0.0
2016/1/8,18:00,0.0,0.0
2016/1/8,18:30,0.0,0.0
2016/1/8,19:00,0.0,0.0
2016/1/8,19:30,0.0,0.0
2016/1/8,20:00,0.0,0.0
2016/1/8,20:30,0.0,0.0
2016/1/8,21:00,0.0,0.0
2016/1/8,21:30,0.0,0.0
2016/1/8,22:00,0.0,0.0
2016/1/8,22:30,0.0,0.0
2016/1/8,23:00,0.0,0.0
2016/1/8,23:30,0.0,0.0
2016/1/9,0:00,0.0,0.0
2016/1/9,0:30,0.0,0.0
2016/1/9,1:00,0.0,0.0
2016/1/9,1:30,0.0,0.0
2016/1/9,2:00,0.0,0.0
2016/1/9,2:30,0.0,0.0
2016/1/9,3:00,0.0,0.0
2016/1/9,3:30,0.0,0.0
2016/1/9,4:00,0.0,0.0
2016/1/9,4:30,0.0,0.0
2016/1/9,5:00,0.0,0.0
2016/1/9,5:30,0.0,0.0
2016/1/9,6:00,0.0,0.0
2016/1/9,6:30,0.0,0.0
2016/1/9,7:00,1.0,2.3
2016/1/9,7:30,19.3,15.6
2016/1/9,8:00,39.8,35.2
2016/1/9,8:30,46.3,62.5
2016/1/9,9:00,50.6,81.4
2016/1/9,9:30,72.8,95.5
2016/1/9,10:00,101.8,98.8
2016/1/9,10:30,120.4,99.9
2016/1/9,11:00,134.7,106.2
2016/1/9,11:30,89.4,105.4
2016/1/9,12:00,98.9,93.8
2016/1/9,12:30,117.4,96.4
2016/1/9,13:00,120.3,95.1
2016/1/9,13:30,83.8,82.1
2016/1/9,14:00,57.7,64.6
2016/1/9,14:30,39.9,35.7
2016/1/9,15:00,18.8,16.2
2016/1/9,15:30,5.0,2.9
2016/1/9,16:00,0.0,0.0
2016/1/9,16:30,0.0,0.0
2016/1/9,17:00,0.0,0.0
2016/1/9,17:30,0.0,0.0
2016/1/9,18:00,0.0,0.0
2016/1/9,18:30,0.0,0.0
2016/1/9,19:00,0.0,0.0
2016/1/9,19:30,0.0,0.0
2016/1/9,20:00,0.0,0.0
2016/1/9,20:30,0.0,0.0
2016/1/9,21:00,0.0,0.0
2016/1/9,21:30,0.0,0.0
2016/1/9,22:00,0.0,0.0
2016/1/9,22:30,0.0,0.0
2016/1/9,23:00,0.0,0.0
2016/1/9,23:30,0.0,0.0
2016/1/10,0:00,0.0,0.0
2016/1/10,0:30,0.0,0.0
2016/1/10,1:00,0.0,0.0
2016/1/10,1:30,0.0,0.0
2016/1/10,2:00,0.0,0.0
2016/1/10,2:30,0.0,0.0
2016/1/10,3:00,0.0,0.0
2016/1/10,3:30,0.0,0.0
2016/1/10,4:00,0.0,0.0
2016/1/10,4:30,0.0,0.0
2016/1/10,5:00,0.0,0.0
2016/1/10,5:30,0.0,0.0
2016/1/10,6:00,0.0,0.0
2016/1/10,6:30,0.0,0.0
2016/1/10,7:00,0.2,0.2
2016/1/10,7:30,8.0,3.5
2016/1/10,8:00,27.4,10.2
2016/1/10,8:30,85.1,22.3
2016/1/10,9:00,106.2,36.8
2016/1/10,9:30,129.0,54.6
2016/1/10,10:00,142.5,82.9
2016/1/10,10:30,153.5,101.3
2016/1/10,11:00,123.1,103.3
2016/1/10,11:30,97.9,98.2
2016/1/10,12:00,93.3,89.8
2016/1/10,12:30,66.4,83.2
2016/1/10,13:00,66.1,74.7
2016/1/10,13:30,74.3,63.5
2016/1/10,14:00,46.7,47.0
2016/1/10,14:30,45.1,19.8
2016/1/10,15:00,35.8,8.3
2016/1/10,15:30,7.2,1.9
2016/1/10,16:00,0.3,0.0
2016/1/10,16:30,0.0,0.0
2016/1/10,17:00,0.0,0.0
2016/1/10,17:30,0.0,0.0
2016/1/10,18:00,0.0,0.0
2016/1/10,18:30,0.0,0.0
2016/1/10,19:00,0.0,0.0
2016/1/10,19:30,0.0,0.0
2016/1/10,20:00,0.0,0.0
2016/1/10,20:30,0.0,0.0
2016/1/10,21:00,0.0,0.0
2016/1/10,21:30,0.0,0.0
2016/1/10,22:00,0.0,0.0
2016/1/10,22:30,0.0,0.0
2016/1/10,23:00,0.0,0.0
2016/1/10,23:30,0.0,0.0
2016/1/11,0:00,0.0,0.0
2016/1/11,0:30,0.0,0.0
2016/1/11,1:00,0.0,0.0
2016/1/11,1:30,0.0,0.0
2016/1/11,2:00,0.0,0.0
2016/1/11,2:30,0.0,0.0
2016/1/11,3:00,0.0,0.0
2016/1/11,3:30,0.0,0.0
2016/1/11,4:00,0.0,0.0
2016/1/11,4:30,0.0,0.0
2016/1/11,5:00,0.0,0.0
2016/1/11,5:30,0.0,0.0
2016/1/11,6:00,0.0,0.0
2016/1/11,6:30,0.0,0.0
2016/1/11,7:00,0.3,2.3
2016/1/11,7:30,12.1,14.7
2016/1/11,8:00,38.0,32.4
2016/1/11,8:30,68.6,60.6
2016/1/11,9:00,98.1,77.7
2016/1/11,9:30,129.3,88.8
2016/1/11,10:00,151.7,98.2
2016/1/11,10:30,142.2,99.9
2016/1/11,11:00,127.4,98.4
2016/1/11,11:30,143.6,98.5
2016/1/11,12:00,141.1,76.6
2016/1/11,12:30,138.8,76.2
2016/1/11,13:00,142.1,75.7
2016/1/11,13:30,128.1,76.6
2016/1/11,14:00,93.4,59.4
2016/1/11,14:30,68.9,38.9
2016/1/11,15:00,30.6,20.8
2016/1/11,15:30,8.8,4.1
2016/1/11,16:00,0.1,0.0
2016/1/11,16:30,0.0,0.0
2016/1/11,17:00,0.0,0.0
2016/1/11,17:30,0.0,0.0
2016/1/11,18:00,0.0,0.0
2016/1/11,18:30,0.0,0.0
2016/1/11,19:00,0.0,0.0
2016/1/11,19:30,0.0,0.0
2016/1/11,20:00,0.0,0.0
2016/1/11,20:30,0.0,0.0
2016/1/11,21:00,0.0,0.0
2016/1/11,21:30,0.0,0.0
2016/1/11,22:00,0.0,0.0
2016/1/11,22:30,0.0,0.0
2016/1/11,23:00,0.0,0.0
2016/1/11,23:30,0.0,0.0
2016/1/12,0:00,0.0,0.0
2016/1/12,0:30,0.0,0.0
2016/1/12,1:00,0.0,0.0
2016/1/12,1:30,0.0,0.0
2016/1/12,2:00,0.0,0.0
2016/1/12,2:30,0.0,0.0
2016/1/12,3:00,0.0,0.0
2016/1/12,3:30,0.0,0.0
2016/1/12,4:00,0.0,0.0
2016/1/12,4:30,0.0,0.0
2016/1/12,5:00,0.0,0.0
2016/1/12,5:30,0.0,0.0
2016/1/12,6:00,0.0,0.0
2016/1/12,6:30,0.0,0.0
2016/1/12,7:00,0.1,3.0
2016/1/12,7:30,5.4,15.3
2016/1/12,8:00,13.0,30.2
2016/1/12,8:30,20.9,54.2
2016/1/12,9:00,29.6,65.2
2016/1/12,9:30,36.7,68.1
2016/1/12,10:00,50.3,80.2
2016/1/12,10:30,59.0,80.0
2016/1/12,11:00,51.3,85.3
2016/1/12,11:30,74.3,85.4
2016/1/12,12:00,121.9,87.0
2016/1/12,12:30,78.0,85.4
2016/1/12,13:00,123.9,74.4
2016/1/12,13:30,119.7,70.8
2016/1/12,14:00,89.7,61.9
2016/1/12,14:30,36.4,41.5
2016/1/12,15:00,30.7,17.5
2016/1/12,15:30,7.6,3.4
2016/1/12,16:00,0.1,0.0
2016/1/12,16:30,0.0,0.0
2016/1/12,17:00,0.0,0.0
2016/1/12,17:30,0.0,0.0
2016/1/12,18:00,0.0,0.0
2016/1/12,18:30,0.0,0.0
2016/1/12,19:00,0.0,0.0
2016/1/12,19:30,0.0,0.0
2016/1/12,20:00,0.0,0.0
2016/1/12,20:30,0.0,0.0
2016/1/12,21:00,0.0,0.0
2016/1/12,21:30,0.0,0.0
2016/1/12,22:00,0.0,0.0
2016/1/12,22:30,0.0,0.0
2016/1/12,23:00,0.0,0.0
2016/1/12,23:30,0.0,0.0
2016/1/13,0:00,0.0,0.0
2016/1/13,0:30,0.0,0.0
2016/1/13,1:00,0.0,0.0
2016/1/13,1:30,0.0,0.0
2016/1/13,2:00,0.0,0.0
2016/1/13,2:30,0.0,0.0
2016/1/13,3:00,0.0,0.0
2016/1/13,3:30,0.0,0.0
2016/1/13,4:00,0.0,0.0
2016/1/13,4:30,0.0,0.0
2016/1/13,5:00,0.0,0.0
2016/1/13,5:30,0.0,0.0
2016/1/13,6:00,0.0,0.0
2016/1/13,6:30,0.0,0.0
2016/1/13,7:00,0.1,2.7
2016/1/13,7:30,1.4,17.6
2016/1/13,8:00,6.6,37.4
2016/1/13,8:30,21.8,64.1
2016/1/13,9:00,36.9,80.2
2016/1/13,9:30,50.4,91.2
2016/1/13,10:00,56.5,97.8
2016/1/13,10:30,73.9,101.6
2016/1/13,11:00,101.5,103.0
2016/1/13,11:30,109.2,102.9
2016/1/13,12:00,69.6,102.0
2016/1/13,12:30,75.8,99.7
2016/1/13,13:00,64.1,94.9
2016/1/13,13:30,63.3,83.2
2016/1/13,14:00,31.8,68.1
2016/1/13,14:30,30.1,42.7
2016/1/13,15:00,23.8,17.6
2016/1/13,15:30,14.4,4.0
2016/1/13,16:00,0.6,0.0
2016/1/13,16:30,0.0,0.0
2016/1/13,17:00,0.0,0.0
2016/1/13,17:30,0.0,0.0
2016/1/13,18:00,0.0,0.0
2016/1/13,18:30,0.0,0.0
2016/1/13,19:00,0.0,0.0
2016/1/13,19:30,0.0,0.0
2016/1/13,20:00,0.0,0.0
2016/1/13,20:30,0.0,0.0
2016/1/13,21:00,0.0,0.0
2016/1/13,21:30,0.0,0.0
2016/1/13,22:00,0.0,0.0
2016/1/13,22:30,0.0,0.0
2016/1/13,23:00,0.0,0.0
2016/1/13,23:30,0.0,0.0
2016/1/14,0:00,0.0,0.0
2016/1/14,0:30,0.0,0.0
2016/1/14,1:00,0.0,0.0
2016/1/14,1:30,0.0,0.0
2016/1/14,2:00,0.0,0.0
2016/1/14,2:30,0.0,0.0
2016/1/14,3:00,0.0,0.0
2016/1/14,3:30,0.0,0.0
2016/1/14,4:00,0.0,0.0
2016/1/14,4:30,0.0,0.0
2016/1/14,5:00,0.0,0.0
2016/1/14,5:30,0.0,0.0
2016/1/14,6:00,0.0,0.0
2016/1/14,6:30,0.0,0.0
2016/1/14,7:00,0.0,0.0
2016/1/14,7:30,0.0,0.0
2016/1/14,8:00,0.0,0.0
2016/1/14,8:30,0.0,0.6
2016/1/14,9:00,1.1,1.8
2016/1/14,9:30,5.4,3.4
2016/1/14,10:00,10.1,7.4
2016/1/14,10:30,18.7,14.5
2016/1/14,11:00,33.3,27.4
2016/1/14,11:30,46.8,43.9
2016/1/14,12:00,54.5,58.9
2016/1/14,12:30,59.5,65.9
2016/1/14,13:00,60.1,65.2
2016/1/14,13:30,37.3,61.4
2016/1/14,14:00,46.6,36.5
2016/1/14,14:30,44.4,21.6
2016/1/14,15:00,21.3,10.3
2016/1/14,15:30,8.1,3.2
2016/1/14,16:00,0.2,0.0
2016/1/14,16:30,0.0,0.0
2016/1/14,17:00,0.0,0.0
2016/1/14,17:30,0.0,0.0
2016/1/14,18:00,0.0,0.0
2016/1/14,18:30,0.0,0.0
2016/1/14,19:00,0.0,0.0
2016/1/14,19:30,0.0,0.0
2016/1/14,20:00,0.0,0.0
2016/1/14,20:30,0.0,0.0
2016/1/14,21:00,0.0,0.0
2016/1/14,21:30,0.0,0.0
2016/1/14,22:00,0.0,0.0
2016/1/14,22:30,0.0,0.0
2016/1/14,23:00,0.0,0.0
2016/1/14,23:30,0.0,0.0
2016/1/15,0:00,0.0,0.0
2016/1/15,0:30,0.0,0.0
2016/1/15,1:00,0.0,0.0
2016/1/15,1:30,0.0,0.0
2016/1/15,2:00,0.0,0.0
2016/1/15,2:30,0.0,0.0
2016/1/15,3:00,0.0,0.0
2016/1/15,3:30,0.0,0.0
2016/1/15,4:00,0.0,0.0
2016/1/15,4:30,0.0,0.0
2016/1/15,5:00,0.0,0.0
2016/1/15,5:30,0.0,0.0
2016/1/15,6:00,0.0,0.0
2016/1/15,6:30,0.0,0.0
2016/1/15,7:00,0.9,0.0
2016/1/15,7:30,10.4,1.1
2016/1/15,8:00,27.7,4.4
2016/1/15,8:30,46.9,11.9
2016/1/15,9:00,47.9,23.8
2016/1/15,9:30,53.9,30.4
2016/1/15,10:00,64.2,38.6
2016/1/15,10:30,46.4,46.0
2016/1/15,11:00,64.3,48.9
2016/1/15,11:30,69.3,47.5
2016/1/15,12:00,84.8,53.5
2016/1/15,12:30,78.6,47.1
2016/1/15,13:00,50.6,31.7
2016/1/15,13:30,30.2,41.6
2016/1/15,14:00,30.4,47.2
2016/1/15,14:30,40.0,28.9
2016/1/15,15:00,29.8,11.9
2016/1/15,15:30,7.5,2.5
2016/1/15,16:00,0.0,0.0
2016/1/15,16:30,0.0,0.0
2016/1/15,17:00,0.0,0.0
2016/1/15,17:30,0.0,0.0
2016/1/15,18:00,0.0,0.0
2016/1/15,18:30,0.0,0.0
2016/1/15,19:00,0.0,0.0
2016/1/15,19:30,0.0,0.0
2016/1/15,20:00,0.0,0.0
2016/1/15,20:30,0.0,0.0
2016/1/15,21:00,0.0,0.0
2016/1/15,21:30,0.0,0.0
2016/1/15,22:00,0.0,0.0
2016/1/15,22:30,0.0,0.0
2016/1/15,23:00,0.0,0.0
2016/1/15,23:30,0.0,0.0
2016/1/16,0:00,0.0,0.0
2016/1/16,0:30,0.0,0.0
2016/1/16,1:00,0.0,0.0
2016/1/16,1:30,0.0,0.0
2016/1/16,2:00,0.0,0.0
2016/1/16,2:30,0.0,0.0
2016/1/16,3:00,0.0,0.0
2016/1/16,3:30,0.0,0.0
2016/1/16,4:00,0.0,0.0
2016/1/16,4:30,0.0,0.0
2016/1/16,5:00,0.0,0.0
2016/1/16,5:30,0.0,0.0
2016/1/16,6:00,0.0,0.0
2016/1/16,6:30,0.0,0.0
